Side,Rank_type,Metric,Value
tail,realistic,median_absolute_deviation,2.965204437011204
both,realistic,median_absolute_deviation,8.895613311033612
head,pessimistic,median_absolute_deviation,30.39334547936484
tail,pessimistic,median_absolute_deviation,2.965204437011204
both,pessimistic,median_absolute_deviation,8.895613311033612
head,optimistic,adjusted_inverse_harmonic_mean_rank,0.2628278743678601
tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.4533271900362427
both,optimistic,adjusted_inverse_harmonic_mean_rank,0.3580778190171796
head,realistic,adjusted_inverse_harmonic_mean_rank,0.2628278730017456
tail,realistic,adjusted_inverse_harmonic_mean_rank,0.4533272094114613
both,realistic,adjusted_inverse_harmonic_mean_rank,0.3580778131039608
head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.262827867068796
tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.4533271897763746
both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.35807781523772414
head,optimistic,harmonic_mean_rank,3.792872514748397
tail,optimistic,harmonic_mean_rank,2.2029568000855835
both,optimistic,harmonic_mean_rank,2.7871154629270984
head,realistic,harmonic_mean_rank,3.7928725343791765
tail,realistic,harmonic_mean_rank,2.202956706161897
both,realistic,harmonic_mean_rank,2.787115508809818
head,pessimistic,harmonic_mean_rank,3.792872619634425
tail,pessimistic,harmonic_mean_rank,2.202956801345325
both,pessimistic,harmonic_mean_rank,2.7871154922532067
head,optimistic,inverse_arithmetic_mean_rank,0.003230280367268833
tail,optimistic,inverse_arithmetic_mean_rank,0.006467827829235285
both,optimistic,inverse_arithmetic_mean_rank,0.004308654189522243
head,realistic,inverse_arithmetic_mean_rank,0.0032302660401910543
tail,realistic,inverse_arithmetic_mean_rank,0.0064677707850933075
both,realistic,inverse_arithmetic_mean_rank,0.004308628849685192
head,pessimistic,inverse_arithmetic_mean_rank,0.003230252012324114
tail,pessimistic,inverse_arithmetic_mean_rank,0.006467714155154839
both,pessimistic,inverse_arithmetic_mean_rank,0.0043086037430995015
head,optimistic,adjusted_arithmetic_mean_rank_index,0.9283781324790732
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9645586762403194
both,optimistic,adjusted_arithmetic_mean_rank_index,0.9465226501257047
head,realistic,adjusted_arithmetic_mean_rank_index,0.9283778146504923
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9645583613835931
both,realistic,adjusted_arithmetic_mean_rank_index,0.946522335553044
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.9283775017494862
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9645580492820545
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.9465220212874331
head,optimistic,variance,1034851.7613126184
tail,optimistic,variance,323892.81910887285
both,optimistic,variance,685375.3816587164
head,realistic,variance,1034852.5
tail,realistic,variance,323901.1875
both,realistic,variance,685380.0
head,pessimistic,variance,1034853.3967908202
tail,pessimistic,variance,323909.56306120043
both,pessimistic,variance,685384.571373981
head,optimistic,z_arithmetic_mean_rank,30.84284179853075
tail,optimistic,z_arithmetic_mean_rank,32.04520720333789
both,optimistic,z_arithmetic_mean_rank,44.470911311299474
head,realistic,z_arithmetic_mean_rank,30.842831239539432
tail,realistic,z_arithmetic_mean_rank,32.045196742959185
both,realistic,z_arithmetic_mean_rank,44.47089653158671
head,pessimistic,z_arithmetic_mean_rank,30.842820844253406
tail,pessimistic,z_arithmetic_mean_rank,32.04518637411515
both,pessimistic,z_arithmetic_mean_rank,44.47088176630021
head,optimistic,adjusted_arithmetic_mean_rank,0.07183730196139759
tail,optimistic,adjusted_arithmetic_mean_rank,0.03566381602267311
both,optimistic,adjusted_arithmetic_mean_rank,0.05369633635566911
head,realistic,adjusted_arithmetic_mean_rank,0.07183761971622495
tail,realistic,adjusted_arithmetic_mean_rank,0.03566413080677224
both,realistic,adjusted_arithmetic_mean_rank,0.05369665085555068
head,pessimistic,adjusted_arithmetic_mean_rank,0.07183793254462086
tail,pessimistic,adjusted_arithmetic_mean_rank,0.03566444283631921
both,pessimistic,adjusted_arithmetic_mean_rank,0.05369696504845335
head,optimistic,standard_deviation,1017.2766395197613
tail,optimistic,standard_deviation,569.1158222267879
both,optimistic,standard_deviation,827.8740131558161
head,realistic,standard_deviation,1017.2769775390625
tail,realistic,standard_deviation,569.1231689453125
both,realistic,standard_deviation,827.8768310546875
head,pessimistic,standard_deviation,1017.2774433706962
tail,pessimistic,standard_deviation,569.1305325329159
both,pessimistic,standard_deviation,827.879563326684
head,optimistic,arithmetic_mean_rank,309.57065217391306
tail,optimistic,arithmetic_mean_rank,154.61141304347825
both,optimistic,arithmetic_mean_rank,232.09103260869566
head,realistic,arithmetic_mean_rank,309.572021484375
tail,realistic,arithmetic_mean_rank,154.61277770996094
both,realistic,arithmetic_mean_rank,232.09239196777344
head,pessimistic,arithmetic_mean_rank,309.5733695652174
tail,pessimistic,arithmetic_mean_rank,154.6141304347826
both,pessimistic,arithmetic_mean_rank,232.09375
head,optimistic,inverse_median_rank,0.046511627906976744
tail,optimistic,inverse_median_rank,0.3333333333333333
both,optimistic,inverse_median_rank,0.14285714285714285
head,realistic,inverse_median_rank,0.04651162773370743
tail,realistic,inverse_median_rank,0.3333333432674408
both,realistic,inverse_median_rank,0.1428571492433548
head,pessimistic,inverse_median_rank,0.046511627906976744
tail,pessimistic,inverse_median_rank,0.3333333333333333
both,pessimistic,inverse_median_rank,0.14285714285714285
head,optimistic,median_rank,21.5
tail,optimistic,median_rank,3.0
both,optimistic,median_rank,7.0
head,realistic,median_rank,21.5
tail,realistic,median_rank,3.0
both,realistic,median_rank,7.0
head,pessimistic,median_rank,21.5
tail,pessimistic,median_rank,3.0
both,pessimistic,median_rank,7.0
head,optimistic,hits_at_1,0.1983695652173913
tail,optimistic,hits_at_1,0.32065217391304346
both,optimistic,hits_at_1,0.2595108695652174
head,realistic,hits_at_1,0.1983695652173913
tail,realistic,hits_at_1,0.32065217391304346
both,realistic,hits_at_1,0.2595108695652174
head,pessimistic,hits_at_1,0.1983695652173913
tail,pessimistic,hits_at_1,0.32065217391304346
both,pessimistic,hits_at_1,0.2595108695652174
head,optimistic,hits_at_3,0.266304347826087
tail,optimistic,hits_at_3,0.5353260869565217
both,optimistic,hits_at_3,0.4008152173913043
head,realistic,hits_at_3,0.266304347826087
tail,realistic,hits_at_3,0.5353260869565217
both,realistic,hits_at_3,0.4008152173913043
head,pessimistic,hits_at_3,0.266304347826087
tail,pessimistic,hits_at_3,0.5353260869565217
both,pessimistic,hits_at_3,0.4008152173913043
head,optimistic,hits_at_5,0.3179347826086957
tail,optimistic,hits_at_5,0.6141304347826086
both,optimistic,hits_at_5,0.46603260869565216
head,realistic,hits_at_5,0.3179347826086957
tail,realistic,hits_at_5,0.6141304347826086
both,realistic,hits_at_5,0.46603260869565216
head,pessimistic,hits_at_5,0.3179347826086957
tail,pessimistic,hits_at_5,0.6141304347826086
both,pessimistic,hits_at_5,0.46603260869565216
head,optimistic,hits_at_10,0.38858695652173914
tail,optimistic,hits_at_10,0.7092391304347826
both,optimistic,hits_at_10,0.5489130434782609
head,realistic,hits_at_10,0.38858695652173914
tail,realistic,hits_at_10,0.7092391304347826
both,realistic,hits_at_10,0.5489130434782609
head,pessimistic,hits_at_10,0.38858695652173914
tail,pessimistic,hits_at_10,0.7092391304347826
both,pessimistic,hits_at_10,0.5489130434782609
head,optimistic,z_hits_at_k,218.30084516336842
tail,optimistic,z_hits_at_k,400.18161955925666
both,optimistic,z_hits_at_k,437.1393842158642
head,realistic,z_hits_at_k,218.30084516336842
tail,realistic,z_hits_at_k,400.18161955925666
both,realistic,z_hits_at_k,437.1393842158642
head,pessimistic,z_hits_at_k,218.30084516336842
tail,pessimistic,z_hits_at_k,400.18161955925666
both,pessimistic,z_hits_at_k,437.1393842158642
head,optimistic,adjusted_hits_at_k,0.3878766285469029
tail,optimistic,adjusted_hits_at_k,0.7089033591354924
both,optimistic,adjusted_hits_at_k,0.5483905532756984
head,realistic,adjusted_hits_at_k,0.3878766285469029
tail,realistic,adjusted_hits_at_k,0.7089033591354924
both,realistic,adjusted_hits_at_k,0.5483905532756984
head,pessimistic,adjusted_hits_at_k,0.3878766285469029
tail,pessimistic,adjusted_hits_at_k,0.7089033591354924
both,pessimistic,adjusted_hits_at_k,0.5483905532756984
