subject,predicate,object
visual-funnel_0,hasType,visual-funnel
🏥 Pulse of Healing: Navigating Hospital Flows Globally,belongTo,visual-funnel_0
visual-shapeMap_S,hasSize,S
visual-shapeMap_S,hasType,visual-shapeMap
Healthcare Expenditure,belongTo,visual-shapeMap_S
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
Healthcare Expenditure,belongTo,visual-clusteredBarChart_L
visual-violinPlot_0,hasSize,0
visual-violinPlot_0,hasType,visual-violinPlot
Healthcare Expenditure,belongTo,visual-violinPlot_0
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
Healthcare Expenditure,belongTo,visual-columnChart_L
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Healthcare Expenditure,belongTo,visual-pivotTable_0
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Healthcare Expenditure,belongTo,visual-lineChart_L
visual-wishyoulizationwalkers_0,hasSize,0
visual-wishyoulizationwalkers_0,hasType,visual-wishyoulizationwalkers
2023/W41: Retail Investment,belongTo,visual-wishyoulizationwalkers_0
visual-wishyoulizationwalkers_0,hasSize,0
visual-wishyoulizationwalkers_0,hasType,visual-wishyoulizationwalkers
2023/W41: Retail Investment,belongTo,visual-wishyoulizationwalkers_0
visual-wishyoulizationwalkers_0,hasSize,0
visual-wishyoulizationwalkers_0,hasType,visual-wishyoulizationwalkers
2023/W41: Retail Investment,belongTo,visual-wishyoulizationwalkers_0
visual-wishyoulizationwalkers_0,hasSize,0
visual-wishyoulizationwalkers_0,hasType,visual-wishyoulizationwalkers
2023/W41: Retail Investment,belongTo,visual-wishyoulizationwalkers_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
SVG Tiles,belongTo,visual-pivotTable_0
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
Hotel Dashboard,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
Hotel Dashboard,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
Hotel Dashboard,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
Hotel Dashboard,belongTo,visual-areaChart_M
visual-stackedAreaChart_S,hasSize,S
visual-stackedAreaChart_S,hasType,visual-stackedAreaChart
Hotel Dashboard,belongTo,visual-stackedAreaChart_S
visual-lineChart_S,hasSize,S
visual-lineChart_S,hasType,visual-lineChart
Hotel Dashboard,belongTo,visual-lineChart_S
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
Hotel Dashboard,belongTo,visual-clusteredColumnChart_L
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
Hotel Dashboard,belongTo,visual-donutChart_S
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
World Happiness Report 2010-2022,belongTo,visual-clusteredBarChart_L
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
World Happiness Report 2010-2022,belongTo,visual-map_0
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-textSearchSlicer_0,hasSize,0
visual-textSearchSlicer_0,hasType,visual-textSearchSlicer
World Happiness Report 2010-2022,belongTo,visual-textSearchSlicer_0
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
World Happiness Report 2010-2022,belongTo,visual-donutChart_S
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
World Happiness Report 2010-2022,belongTo,visual-pivotTable_0
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-areaChart_M,hasSize,M
visual-areaChart_M,hasType,visual-areaChart
World Happiness Report 2010-2022,belongTo,visual-areaChart_M
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
World Population Analysis String IT,belongTo,visual-map_0
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
World Population Analysis String IT,belongTo,visual-clusteredBarChart_L
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
World Population Analysis String IT,belongTo,visual-clusteredBarChart_L
visual-cardVisual_L,hasSize,L
visual-cardVisual_L,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_L
visual-cardVisual_L,hasSize,L
visual-cardVisual_L,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_L
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
SVG para Power BI,belongTo,visual-cardVisual_M
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Friends TV Series Dashboard,belongTo,visual-lineChart_L
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Friends TV Series Dashboard,belongTo,visual-multiRowCard_0
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Friends TV Series Dashboard,belongTo,visual-multiRowCard_0
visual-gauge_0,hasSize,0
visual-gauge_0,hasType,visual-gauge
Udacity - Design Dashboard - Final Project - Chi,belongTo,visual-gauge_0
visual-lineChart_S,hasSize,S
visual-lineChart_S,hasType,visual-lineChart
Udacity - Design Dashboard - Final Project - Chi,belongTo,visual-lineChart_S
visual-lineChart_S,hasSize,S
visual-lineChart_S,hasType,visual-lineChart
Udacity - Design Dashboard - Final Project - Chi,belongTo,visual-lineChart_S
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
Udacity - Design Dashboard - Final Project - Chi,belongTo,visual-clusteredColumnChart_L
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
Udacity - Design Dashboard - Final Project - Chi,belongTo,visual-clusteredBarChart_L
visual-filledMap_0,hasSize,0
visual-filledMap_0,hasType,visual-filledMap
CDNI Dashboard,belongTo,visual-filledMap_0
visual-lineChart_M,hasSize,M
visual-lineChart_M,hasType,visual-lineChart
CDNI Dashboard,belongTo,visual-lineChart_M
visual-pivotTable_M,hasSize,M
visual-pivotTable_M,hasType,visual-pivotTable
CDNI Dashboard,belongTo,visual-pivotTable_M
visual-pivotTable_M,hasSize,M
visual-pivotTable_M,hasType,visual-pivotTable
CDNI Dashboard,belongTo,visual-pivotTable_M
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-lineChart_S,hasSize,S
visual-lineChart_S,hasType,visual-lineChart
Plato's Pizza Challenge,belongTo,visual-lineChart_S
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-hundredPercentStackedBarChart_S,hasSize,S
visual-hundredPercentStackedBarChart_S,hasType,visual-hundredPercentStackedBarChart
Plato's Pizza Challenge,belongTo,visual-hundredPercentStackedBarChart_S
visual-scatterChart_L,hasSize,L
visual-scatterChart_L,hasType,visual-scatterChart
Plato's Pizza Challenge,belongTo,visual-scatterChart_L
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Plato's Pizza Challenge,belongTo,visual-pivotTable_0
visual-columnChart_S,hasSize,S
visual-columnChart_S,hasType,visual-columnChart
Profit Margin & Procurement Cost of Project -Blue Theme,belongTo,visual-columnChart_S
visual-barChart_L,hasSize,L
visual-barChart_L,hasType,visual-barChart
Profit Margin & Procurement Cost of Project -Blue Theme,belongTo,visual-barChart_L
visual-pieChart_S,hasSize,S
visual-pieChart_S,hasType,visual-pieChart
Profit Margin & Procurement Cost of Project -Blue Theme,belongTo,visual-pieChart_S
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
Profit Margin & Procurement Cost of Project -Blue Theme,belongTo,visual-columnChart_L
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
Profit Margin & Procurement Cost of Project -Blue Theme,belongTo,visual-donutChart_S
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
Bookmarks,belongTo,visual-clusteredColumnChart_L
visual-donutChart_M,hasSize,M
visual-donutChart_M,hasType,visual-donutChart
Bookmarks,belongTo,visual-donutChart_M
visual-textSearchSlicer_0,hasSize,0
visual-textSearchSlicer_0,hasType,visual-textSearchSlicer
Bookmarks,belongTo,visual-textSearchSlicer_0
visual-textSearchSlicer_0,hasSize,0
visual-textSearchSlicer_0,hasType,visual-textSearchSlicer
Bookmarks,belongTo,visual-textSearchSlicer_0
visual-textSearchSlicer_0,hasSize,0
visual-textSearchSlicer_0,hasType,visual-textSearchSlicer
Bookmarks,belongTo,visual-textSearchSlicer_0
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
Insurance Application Dashboard,belongTo,visual-donutChart_0
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
Insurance Application Dashboard,belongTo,visual-clusteredBarChart_L
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
Insurance Application Dashboard,belongTo,visual-columnChart_L
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
Insurance Application Dashboard,belongTo,visual-clusteredBarChart_L
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
Insurance Application Dashboard,belongTo,visual-donutChart_0
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
Insurance Application Dashboard,belongTo,visual-map_0
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
IPL Dashboard,belongTo,visual-donutChart_S
visual-barChart_S,hasSize,S
visual-barChart_S,hasType,visual-barChart
IPL Dashboard,belongTo,visual-barChart_S
visual-barChart_L,hasSize,L
visual-barChart_L,hasType,visual-barChart
IPL Dashboard,belongTo,visual-barChart_L
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
IPL Dashboard,belongTo,visual-donutChart_S
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
The Regional Revenue Rundown 🌎💰,belongTo,visual-donutChart_S
visual-Tachometer_0,hasSize,0
visual-Tachometer_0,hasType,visual-Tachometer
The Regional Revenue Rundown 🌎💰,belongTo,visual-Tachometer_0
visual-treemap_0,hasSize,0
visual-treemap_0,hasType,visual-treemap
The Regional Revenue Rundown 🌎💰,belongTo,visual-treemap_0
visual-stackedAreaChart_L,hasSize,L
visual-stackedAreaChart_L,hasType,visual-stackedAreaChart
The Regional Revenue Rundown 🌎💰,belongTo,visual-stackedAreaChart_L
visual-barChart_M,hasSize,M
visual-barChart_M,hasType,visual-barChart
The Regional Revenue Rundown 🌎💰,belongTo,visual-barChart_M
visual-lineStackedColumnComboChart_L,hasSize,L
visual-lineStackedColumnComboChart_L,hasType,visual-lineStackedColumnComboChart
The Regional Revenue Rundown 🌎💰,belongTo,visual-lineStackedColumnComboChart_L
visual-shapeMap_0,hasSize,0
visual-shapeMap_0,hasType,visual-shapeMap
The Regional Revenue Rundown 🌎💰,belongTo,visual-shapeMap_0
visual-ribbonChart_S,hasSize,S
visual-ribbonChart_S,hasType,visual-ribbonChart
The Regional Revenue Rundown 🌎💰,belongTo,visual-ribbonChart_S
visual-funnel_0,hasSize,0
visual-funnel_0,hasType,visual-funnel
Customer Churn Report,belongTo,visual-funnel_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Customer Churn Report,belongTo,visual-pivotTable_0
visual-scatterChart_L,hasSize,L
visual-scatterChart_L,hasType,visual-scatterChart
Workout Wednesday 2023 | Week 1,belongTo,visual-scatterChart_L
visual-barChart_M,hasSize,M
visual-barChart_M,hasType,visual-barChart
Workout Wednesday 2023 | Week 1,belongTo,visual-barChart_M
visual-barChart_M,hasSize,M
visual-barChart_M,hasType,visual-barChart
Workout Wednesday 2023 | Week 1,belongTo,visual-barChart_M
visual-pieChart_L,hasSize,L
visual-pieChart_L,hasType,visual-pieChart
"JCPS Homeless Students Data, Louisville, KY: 2019-2020, 2020-2021",belongTo,visual-pieChart_L
visual-pieChart_L,hasSize,L
visual-pieChart_L,hasType,visual-pieChart
"JCPS Homeless Students Data, Louisville, KY: 2019-2020, 2020-2021",belongTo,visual-pieChart_L
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
"JCPS Homeless Students Data, Louisville, KY: 2019-2020, 2020-2021",belongTo,visual-map_0
visual-pieChart_L,hasSize,L
visual-pieChart_L,hasType,visual-pieChart
"JCPS Homeless Students Data, Louisville, KY: 2019-2020, 2020-2021",belongTo,visual-pieChart_L
visual-pieChart_L,hasSize,L
visual-pieChart_L,hasType,visual-pieChart
"JCPS Homeless Students Data, Louisville, KY: 2019-2020, 2020-2021",belongTo,visual-pieChart_L
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
HR data report,belongTo,visual-multiRowCard_0
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
HR data report,belongTo,visual-columnChart_L
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
HR data report,belongTo,visual-pivotTable_0
visual-shapeMap_0,hasSize,0
visual-shapeMap_0,hasType,visual-shapeMap
Superstore Profitability Dashboard,belongTo,visual-shapeMap_0
visual-scatterChart_L,hasSize,L
visual-scatterChart_L,hasType,visual-scatterChart
Superstore Profitability Dashboard,belongTo,visual-scatterChart_L
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
Superstore Profitability Dashboard,belongTo,visual-columnChart_L
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
iPhone XR- Black 64 GB Reviews,belongTo,visual-clusteredBarChart_L
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
iPhone XR- Black 64 GB Reviews,belongTo,visual-donutChart_S
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
iPhone XR- Black 64 GB Reviews,belongTo,visual-lineChart_L
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
A Powerful resume with Power BI,belongTo,visual-columnChart_L
visual-decompositionTreeVisual_0,hasSize,0
visual-decompositionTreeVisual_0,hasType,visual-decompositionTreeVisual
Calenta HR Report via IBM Dataset,belongTo,visual-decompositionTreeVisual_0
visual-clusteredColumnChart_M,hasSize,M
visual-clusteredColumnChart_M,hasType,visual-clusteredColumnChart
Calenta HR Report via IBM Dataset,belongTo,visual-clusteredColumnChart_M
visual-clusteredColumnChart_M,hasSize,M
visual-clusteredColumnChart_M,hasType,visual-clusteredColumnChart
Calenta HR Report via IBM Dataset,belongTo,visual-clusteredColumnChart_M
visual-barChart_L,hasSize,L
visual-barChart_L,hasType,visual-barChart
Substance Abuse Data Analysis,belongTo,visual-barChart_L
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
Substance Abuse Data Analysis,belongTo,visual-donutChart_0
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
Substance Abuse Data Analysis,belongTo,visual-donutChart_0
visual-areaChart_L,hasSize,L
visual-areaChart_L,hasType,visual-areaChart
Substance Abuse Data Analysis,belongTo,visual-areaChart_L
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Substance Abuse Data Analysis,belongTo,visual-lineChart_L
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
Substance Abuse Data Analysis,belongTo,visual-donutChart_0
visual-lineClusteredColumnComboChart_S,hasSize,S
visual-lineClusteredColumnComboChart_S,hasType,visual-lineClusteredColumnComboChart
Substance Abuse Data Analysis,belongTo,visual-lineClusteredColumnComboChart_S
visual-basicShape_L,hasSize,L
visual-basicShape_L,hasType,visual-basicShape
ChannelMix - Multi-Touch Attribution,belongTo,visual-basicShape_L
visual-basicShape_L,hasSize,L
visual-basicShape_L,hasType,visual-basicShape
ChannelMix - Multi-Touch Attribution,belongTo,visual-basicShape_L
visual-basicShape_L,hasSize,L
visual-basicShape_L,hasType,visual-basicShape
ChannelMix - Multi-Touch Attribution,belongTo,visual-basicShape_L
visual-basicShape_L,hasSize,L
visual-basicShape_L,hasType,visual-basicShape
ChannelMix - Multi-Touch Attribution,belongTo,visual-basicShape_L
visual-basicShape_L,hasSize,L
visual-basicShape_L,hasType,visual-basicShape
ChannelMix - Multi-Touch Attribution,belongTo,visual-basicShape_L
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
ChannelMix - Multi-Touch Attribution,belongTo,visual-pivotTable_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
ChannelMix - Multi-Touch Attribution,belongTo,visual-pivotTable_0
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Workout Wednesday 2021 | Week 19 - Highlighting using DAX,belongTo,visual-lineChart_L
visual-ChicletSlicer_0,hasSize,0
visual-ChicletSlicer_0,hasType,visual-ChicletSlicer
CDC Smoking Data 1995-2010,belongTo,visual-ChicletSlicer_0
visual-map_L,hasSize,L
visual-map_L,hasType,visual-map
CDC Smoking Data 1995-2010,belongTo,visual-map_L
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
CDC Smoking Data 1995-2010,belongTo,visual-map_0
visual-ChicletSlicer_0,hasSize,0
visual-ChicletSlicer_0,hasType,visual-ChicletSlicer
CDC Smoking Data 1995-2010,belongTo,visual-ChicletSlicer_0
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
CDC Smoking Data 1995-2010,belongTo,visual-lineChart_L
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
CDC Smoking Data 1995-2010,belongTo,visual-lineChart_L
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
CDC Smoking Data 1995-2010,belongTo,visual-lineChart_L
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
CDC Smoking Data 1995-2010,belongTo,visual-lineChart_L
visual-columnChart_S,hasSize,S
visual-columnChart_S,hasType,visual-columnChart
Comparison of World Series Champions Boston Red Sox 20th Century,belongTo,visual-columnChart_S
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
Comparison of World Series Champions Boston Red Sox 20th Century,belongTo,visual-clusteredColumnChart_L
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
Comparison of World Series Champions Boston Red Sox 20th Century,belongTo,visual-clusteredColumnChart_L
visual-clusteredColumnChart_L,hasSize,L
